PROJNUM,Goal,OtherGoal,cfsSpecified
19990291,improve/increase stream spawning habitat,,
19990291,improve/increase stream rearing habitat,,
19990291,improve/increase stream pools,,
19990291,improve/increase stream over-winter habitat,,
19990292,improve/increase stream structure & complexity,,
19990292,improve/increase stream interaction with floodplain,,
19990292,improve/increase stream gravel recruitment,,
19990292,improve/increase stream spawning habitat,,
19990292,improve/increase stream rearing habitat,,
19990292,improve/increase stream pools,,
19990292,improve/increase stream over-winter habitat,,
19990293,improve/increase stream structure & complexity,,
19990293,improve/increase stream interaction with floodplain,,
19990293,improve/increase stream gravel recruitment,,
19990293,improve/increase stream spawning habitat,,
19990293,improve/increase stream rearing habitat,,
19990293,improve/increase stream pools,,
19990293,improve/increase stream over-winter habitat,,
19990294,improve/increase stream structure & complexity,,
19990294,improve/increase stream interaction with floodplain,,
19990294,improve/increase stream gravel recruitment,,
19990294,improve/increase stream spawning habitat,,
19990294,improve/increase stream rearing habitat,,
19990294,improve/increase stream pools,,
19990294,improve/increase stream over-winter habitat,,
19990295,improve/increase fish passage,,
19990296,improve/increase fish passage,,
19990297,improve/increase fish passage,,
19990298,improve/increase stream rearing habitat,,
19990298,improve/increase stream over-winter habitat,,
19990298,improve/increase stream summer habitat,,
19990298,increase future stream shading/increase vegetation to provide shade,,
19990298,decrease run-off contaminant input,,
19990298,"increase wildlife habitat (vegetation for food, cover, or nesting)",,
19990298,increase storage capacity of wetland,,
19990298,increase the number of wetland types at site,,
19990298,increase wetland connection to adjacent natural area,,
19990299,increase future stream shading/increase vegetation to provide shade,,
19990300,increase future stream shading/increase vegetation to provide shade,,
19990300,increase streambank stabilization/protection,,
19990300,decrease erosion/stream sedimentation,,
19990301,increase future LWD recruitment to stream,,
19990301,increase future stream shading/increase vegetation to provide shade,,
19990301,increase streambank stabilization/protection,,
19990301,decrease erosion/stream sedimentation,,
19990302,improve/increase stream flow,,
19990302,improve/increase stream rearing habitat,,
19990302,increase future stream shading/increase vegetation to provide shade,,
19990302,decrease run-off contaminant input,,
19990302,"increase wildlife habitat (vegetation for food, cover, or nesting)",,
19990302,increase storage capacity of wetland,,
19990302,increase wetland vegetation for flood control,,
19990302,increase net area of wetland,,
19990302,increase the number of wetland types at site,,
19990302,increase wetland connection to adjacent natural area,,
19990303,increase future LWD recruitment to stream,,
19990303,increase future stream shading/increase vegetation to provide shade,,
19990303,increase streambank stabilization/protection,,
19990303,decrease erosion/stream sedimentation,,
19990303,decrease run-off contaminant input,,
19990304,increase future LWD recruitment to stream,,
19990304,increase future stream shading/increase vegetation to provide shade,,
19990304,increase streambank stabilization/protection,,
19990304,decrease erosion/stream sedimentation,,
19990304,decrease run-off contaminant input,,
19990305,increase future LWD recruitment to stream,,
19990305,increase future stream shading/increase vegetation to provide shade,,
19990305,increase streambank stabilization/protection,,
19990305,decrease erosion/stream sedimentation,,
19990305,decrease run-off contaminant input,,
19990306,increase future LWD recruitment to stream,,
19990306,increase future stream shading/increase vegetation to provide shade,,
19990306,increase streambank stabilization/protection,,
19990306,decrease erosion/stream sedimentation,,
19990306,decrease run-off contaminant input,,
19990307,increase future LWD recruitment to stream,,
19990307,increase future stream shading/increase vegetation to provide shade,,
19990307,increase streambank stabilization/protection,,
19990307,decrease erosion/stream sedimentation,,
19990307,decrease run-off contaminant input,,
19990308,increase future LWD recruitment to stream,,
19990308,increase future stream shading/increase vegetation to provide shade,,
19990308,increase streambank stabilization/protection,,
19990308,decrease erosion/stream sedimentation,,
19990308,decrease run-off contaminant input,,
19990309,increase future LWD recruitment to stream,,
19990309,increase future stream shading/increase vegetation to provide shade,,
19990309,increase streambank stabilization/protection,,
19990309,decrease erosion/stream sedimentation,,
19990309,decrease run-off contaminant input,,
19990310,decrease erosion/stream sedimentation,,
19990310,decrease run-off contaminant input,,
19990310,increase road/upslope drainage,,
19990310,decrease washout/diversion potential at stream crossings,,
19990310,improve flood/slide repair,,
19990311,decrease erosion/stream sedimentation,,
19990311,decrease run-off contaminant input,,
19990311,increase road/upslope drainage,,
19990312,improve/increase fish passage,,
19990313,improve/increase fish passage,,
19990314,improve/increase fish passage,,
19990315,decrease erosion/stream sedimentation,,
19990315,decrease run-off contaminant input,,
19990315,increase road/upslope drainage,,
19990316,improve/increase fish passage,,
19990317,decrease erosion/stream sedimentation,,
19990317,decrease run-off contaminant input,,
19990317,"increase upslope stability (soil, road)",,
19990317,increase road/upslope drainage,,
19990317,improve flood/slide repair,,
19990318,increase streambank stabilization/protection,,
19990318,decrease erosion/stream sedimentation,,
19990318,decrease run-off contaminant input,,
19990318,"increase upslope stability (soil, road)",,
19990318,other,Trail widening caused by recreationists to avoid excessively muddy conditions.,
19990319,increase future LWD recruitment to stream,,
19990319,increase future stream shading/increase vegetation to provide shade,,
19990319,increase streambank stabilization/protection,,
19990319,decrease erosion/stream sedimentation,,
19990320,improve/increase fish passage,,
19990321,increase future LWD recruitment to stream,,
19990321,increase future stream shading/increase vegetation to provide shade,,
19990321,increase streambank stabilization/protection,,
19990321,decrease erosion/stream sedimentation,,
19990322,improve/increase fish passage,,
19990323,improve/increase fish passage,,
19990324,improve/increase fish passage,,
19990325,improve/increase stream structure & complexity,,
19990325,improve/increase stream interaction with floodplain,,
19990325,improve/increase stream rearing habitat,,
19990325,improve/increase stream pools,,
19990325,improve/increase stream over-winter habitat,,
19990325,improve/increase stream summer habitat,,
19990326,improve/increase stream structure & complexity,,
19990326,improve/increase stream interaction with floodplain,,
19990326,improve/increase stream spawning habitat,,
19990326,improve/increase stream rearing habitat,,
19990326,improve/increase stream pools,,
19990326,improve/increase stream off-channel habitat,,
19990326,improve/increase stream over-winter habitat,,
19990326,improve/increase stream summer habitat,,
19990327,improve/increase stream structure & complexity,,
19990327,improve/increase stream interaction with floodplain,,
19990327,improve/increase stream gravel recruitment,,
19990327,improve/increase stream spawning habitat,,
19990327,improve/increase stream rearing habitat,,
19990327,improve/increase stream pools,,
19990327,improve/increase stream over-winter habitat,,
19990327,improve/increase stream summer habitat,,
19990328,improve/increase stream structure & complexity,,
19990328,improve/increase stream gravel recruitment,,
19990328,improve/increase fish passage,,
19990328,improve/increase stream spawning habitat,,
19990328,improve/increase stream rearing habitat,,
19990328,improve/increase stream pools,,
19990329,improve/increase fish passage,,
19990330,improve/increase fish passage,,
19990331,improve/increase fish passage,,
19990332,improve/increase fish passage,,
19990333,improve/increase fish passage,,
19990334,improve/increase fish passage,,
19990335,improve/increase fish passage,,
19990336,improve/increase fish passage,,
19990337,improve/increase fish passage,,
19990338,improve/increase fish passage,,
19990339,improve/increase fish passage,,
19990340,improve/increase fish passage,,
19990341,improve/increase fish passage,,
19990342,improve/increase fish passage,,
19990343,improve/increase fish passage,,
19990344,improve/increase fish passage,,
19990345,improve/increase fish passage,,
19990346,improve/increase fish passage,,
19990347,improve/increase fish passage,,
19990348,improve/increase fish passage,,
19990349,improve/increase stream structure & complexity,,
19990349,improve/increase stream flow,,
19990349,improve/increase fish passage,,
19990349,improve/increase stream over-winter habitat,,
19990349,increase streambank stabilization/protection,,
19990349,decrease erosion/stream sedimentation,,
19990349,improve flood/slide repair,,
19990350,improve/increase fish passage,,
19990351,increase future LWD recruitment to stream,,
19990351,increase future stream shading/increase vegetation to provide shade,,
19990352,decrease erosion/stream sedimentation,,
19990352,"increase upslope stability (soil, road)",,
19990352,decrease washout/diversion potential at stream crossings,,
19990353,improve/increase fish passage,,
19990354,increase future LWD recruitment to stream,,
19990354,increase future stream shading/increase vegetation to provide shade,,
19990355,decrease erosion/stream sedimentation,,
19990355,decrease run-off contaminant input,,
19990355,increase road/upslope drainage,,
19990356,decrease erosion/stream sedimentation,,
19990356,decrease run-off contaminant input,,
19990356,increase road/upslope drainage,,
19990356,decrease washout/diversion potential at stream crossings,,
19990357,decrease erosion/stream sedimentation,,
19990357,decrease run-off contaminant input,,
19990357,increase road/upslope drainage,,
19990357,decrease washout/diversion potential at stream crossings,,
19990358,decrease erosion/stream sedimentation,,
19990358,decrease run-off contaminant input,,
19990358,increase road/upslope drainage,,
19990358,decrease washout/diversion potential at stream crossings,,
19990359,decrease erosion/stream sedimentation,,
19990359,decrease run-off contaminant input,,
19990359,increase road/upslope drainage,,
19990360,decrease erosion/stream sedimentation,,
19990360,decrease run-off contaminant input,,
19990360,increase road/upslope drainage,,
19990361,improve/increase fish passage,,
19990362,increase future LWD recruitment to stream,,
19990362,increase future stream shading/increase vegetation to provide shade,,
19990362,other,Green Tree retention requirement for FPA,
19990363,improve/increase stream structure & complexity,,
19990363,improve/increase stream gravel recruitment,,
19990363,improve/increase stream pools,,
19990364,decrease erosion/stream sedimentation,,
19990364,decrease run-off contaminant input,,
19990364,increase road/upslope drainage,,
19990364,decrease road access,,
19990364,decrease road density,,
19990365,increase future LWD recruitment to stream,,
19990365,increase future stream shading/increase vegetation to provide shade,,
19990365,increase streambank stabilization/protection,,
19990365,decrease erosion/stream sedimentation,,
19990365,decrease run-off contaminant input,,
19990366,decrease run-off contaminant input,,
19990366,increase road/upslope drainage,,
19990367,decrease run-off contaminant input,,
19990367,increase road/upslope drainage,,
19990368,decrease run-off contaminant input,,
19990368,increase road/upslope drainage,,
19990369,improve/increase fish passage,,
19990369,decrease road density,,
19990369,decrease washout/diversion potential at stream crossings,,
19990370,decrease erosion/stream sedimentation,,
19990370,decrease run-off contaminant input,,
19990370,increase road/upslope drainage,,
19990371,decrease erosion/stream sedimentation,,
19990371,increase road/upslope drainage,,
19990372,increase future LWD recruitment to stream,,
19990372,increase future stream shading/increase vegetation to provide shade,,
19990372,increase streambank stabilization/protection,,
19990372,decrease erosion/stream sedimentation,,
19990373,increase future LWD recruitment to stream,,
19990373,increase future stream shading/increase vegetation to provide shade,,
19990373,increase streambank stabilization/protection,,
19990373,decrease erosion/stream sedimentation,,
19990374,decrease erosion/stream sedimentation,,
19990374,"increase upslope stability (soil, road)",,
19990374,increase road/upslope drainage,,
19990375,decrease erosion/stream sedimentation,,
19990375,"increase upslope stability (soil, road)",,
19990375,increase road/upslope drainage,,
19990376,improve/increase stream structure & complexity,,
19990376,improve/increase stream interaction with floodplain,,
19990376,improve/increase stream gravel recruitment,,
19990376,improve/increase stream spawning habitat,,
19990376,improve/increase stream rearing habitat,,
19990376,improve/increase stream over-winter habitat,,
19990376,improve/increase stream summer habitat,,
19990377,improve/increase stream structure & complexity,,
19990377,improve/increase stream interaction with floodplain,,
19990377,improve/increase stream gravel recruitment,,
19990377,improve/increase fish passage,,
19990377,improve/increase stream spawning habitat,,
19990377,improve/increase stream rearing habitat,,
19990377,improve/increase stream over-winter habitat,,
19990377,improve/increase stream summer habitat,,
19990378,increase future LWD recruitment to stream,,
19990378,increase future stream shading/increase vegetation to provide shade,,
19990378,increase streambank stabilization/protection,,
19990378,decrease erosion/stream sedimentation,,
19990379,improve/increase fish passage,,
19990380,improve/increase fish passage,,
19990381,decrease erosion/stream sedimentation,,
19990381,"increase upslope stability (soil, road)",,
19990381,increase road/upslope drainage,,
19990382,decrease erosion/stream sedimentation,,
19990382,"increase upslope stability (soil, road)",,
19990382,increase road/upslope drainage,,
19990383,improve/increase fish passage,,
19990384,increase future LWD recruitment to stream,,
19990384,increase future stream shading/increase vegetation to provide shade,,
19990384,increase streambank stabilization/protection,,
19990384,decrease erosion/stream sedimentation,,
19990385,improve/increase fish passage,,
19990386,increase future LWD recruitment to stream,,
19990386,increase future stream shading/increase vegetation to provide shade,,
19990386,increase streambank stabilization/protection,,
19990386,decrease erosion/stream sedimentation,,
19990387,increase future LWD recruitment to stream,,
19990387,increase future stream shading/increase vegetation to provide shade,,
19990387,increase streambank stabilization/protection,,
19990388,increase future LWD recruitment to stream,,
19990388,increase future stream shading/increase vegetation to provide shade,,
19990388,increase streambank stabilization/protection,,
19990388,decrease erosion/stream sedimentation,,
19990389,decrease erosion/stream sedimentation,,
19990389,"increase upslope stability (soil, road)",,
19990389,increase road/upslope drainage,,
19990390,decrease erosion/stream sedimentation,,
19990390,"increase upslope stability (soil, road)",,
19990390,increase road/upslope drainage,,
19990391,decrease erosion/stream sedimentation,,
19990391,"increase upslope stability (soil, road)",,
19990391,increase road/upslope drainage,,
19990392,increase future LWD recruitment to stream,,
19990393,increase future LWD recruitment to stream,,
19990393,increase future stream shading/increase vegetation to provide shade,,
19990393,increase streambank stabilization/protection,,
19990393,decrease erosion/stream sedimentation,,
19990394,increase future LWD recruitment to stream,,
19990394,increase future stream shading/increase vegetation to provide shade,,
19990394,increase streambank stabilization/protection,,
19990395,increase future LWD recruitment to stream,,
19990395,increase future stream shading/increase vegetation to provide shade,,
19990395,increase streambank stabilization/protection,,
19990395,decrease erosion/stream sedimentation,,
19990396,increase future LWD recruitment to stream,,
19990396,increase future stream shading/increase vegetation to provide shade,,
19990396,increase streambank stabilization/protection,,
19990396,decrease erosion/stream sedimentation,,
19990397,increase future LWD recruitment to stream,,
19990397,increase future stream shading/increase vegetation to provide shade,,
19990397,increase streambank stabilization/protection,,
19990397,decrease erosion/stream sedimentation,,
19990398,increase future LWD recruitment to stream,,
19990398,increase future stream shading/increase vegetation to provide shade,,
19990398,increase streambank stabilization/protection,,
19990398,decrease erosion/stream sedimentation,,
19990399,increase future LWD recruitment to stream,,
19990399,increase future stream shading/increase vegetation to provide shade,,
19990399,increase streambank stabilization/protection,,
19990399,decrease erosion/stream sedimentation,,
19990400,increase future stream shading/increase vegetation to provide shade,,
19990400,increase streambank stabilization/protection,,
19990400,decrease erosion/stream sedimentation,,
19990401,increase future LWD recruitment to stream,,
19990401,increase future stream shading/increase vegetation to provide shade,,
19990401,increase streambank stabilization/protection,,
19990401,decrease erosion/stream sedimentation,,
19990402,increase future LWD recruitment to stream,,
19990402,increase future stream shading/increase vegetation to provide shade,,
19990402,increase streambank stabilization/protection,,
19990402,decrease erosion/stream sedimentation,,
19990403,increase future LWD recruitment to stream,,
19990403,increase future stream shading/increase vegetation to provide shade,,
19990403,increase streambank stabilization/protection,,
19990403,decrease erosion/stream sedimentation,,
19990404,increase future LWD recruitment to stream,,
19990404,increase future stream shading/increase vegetation to provide shade,,
19990404,increase streambank stabilization/protection,,
19990404,decrease erosion/stream sedimentation,,
19990405,increase future LWD recruitment to stream,,
19990405,increase future stream shading/increase vegetation to provide shade,,
19990405,increase streambank stabilization/protection,,
19990405,decrease erosion/stream sedimentation,,
19990406,decrease erosion/stream sedimentation,,
19990406,"increase upslope stability (soil, road)",,
19990406,increase road/upslope drainage,,
19990407,decrease erosion/stream sedimentation,,
19990407,"increase upslope stability (soil, road)",,
19990407,increase road/upslope drainage,,
19990408,decrease erosion/stream sedimentation,,
19990408,"increase upslope stability (soil, road)",,
19990408,increase road/upslope drainage,,
19990409,decrease erosion/stream sedimentation,,
19990409,"increase upslope stability (soil, road)",,
19990409,increase road/upslope drainage,,
19990410,decrease erosion/stream sedimentation,,
19990410,"increase upslope stability (soil, road)",,
19990410,increase road/upslope drainage,,
19990411,decrease erosion/stream sedimentation,,
19990411,"increase upslope stability (soil, road)",,
19990411,increase road/upslope drainage,,
19990412,decrease erosion/stream sedimentation,,
19990412,"increase upslope stability (soil, road)",,
19990412,increase road/upslope drainage,,
19990413,decrease erosion/stream sedimentation,,
19990414,decrease erosion/stream sedimentation,,
19990415,decrease erosion/stream sedimentation,,
19990415,"increase upslope stability (soil, road)",,
19990415,increase road/upslope drainage,,
19990416,decrease erosion/stream sedimentation,,
19990416,"increase upslope stability (soil, road)",,
19990416,increase road/upslope drainage,,
19990417,increase future LWD recruitment to stream,,
19990417,increase future stream shading/increase vegetation to provide shade,,
19990417,increase streambank stabilization/protection,,
19990417,decrease erosion/stream sedimentation,,
19990418,increase future LWD recruitment to stream,,
19990418,increase future stream shading/increase vegetation to provide shade,,
19990418,increase streambank stabilization/protection,,
19990418,decrease erosion/stream sedimentation,,
19990419,increase future stream shading/increase vegetation to provide shade,,
19990419,"increase wildlife habitat (vegetation for food, cover, or nesting)",,
19990420,"increase upslope stability (soil, road)",,
19990420,increase road/upslope drainage,,
19990421,improve/increase fish passage,,
19990422,improve/increase fish passage,,
19990423,improve/increase fish passage,,
19990424,improve/increase fish passage,,
19990425,improve/increase fish passage,,
19990426,improve/increase fish passage,,
19990427,improve/increase fish passage,,
19990428,decrease erosion/stream sedimentation,,
19990428,increase road/upslope drainage,,
19990429,increase future LWD recruitment to stream,,
19990429,increase future stream shading/increase vegetation to provide shade,,
19990429,increase streambank stabilization/protection,,
19990429,decrease erosion/stream sedimentation,,
19990430,increase future LWD recruitment to stream,,
19990430,increase future stream shading/increase vegetation to provide shade,,
19990430,increase streambank stabilization/protection,,
19990430,decrease erosion/stream sedimentation,,
19990431,increase future LWD recruitment to stream,,
19990431,increase future stream shading/increase vegetation to provide shade,,
19990431,increase streambank stabilization/protection,,
19990431,decrease erosion/stream sedimentation,,
19990432,increase future LWD recruitment to stream,,
19990432,increase future stream shading/increase vegetation to provide shade,,
19990432,increase streambank stabilization/protection,,
19990432,decrease erosion/stream sedimentation,,
19990433,increase future LWD recruitment to stream,,
19990433,increase future stream shading/increase vegetation to provide shade,,
19990433,increase streambank stabilization/protection,,
19990433,decrease erosion/stream sedimentation,,
19990434,increase future LWD recruitment to stream,,
19990434,increase future stream shading/increase vegetation to provide shade,,
19990434,increase streambank stabilization/protection,,
19990434,decrease erosion/stream sedimentation,,
19990435,improve/increase fish passage,,
19990436,increase future LWD recruitment to stream,,
19990436,increase future stream shading/increase vegetation to provide shade,,
19990436,increase streambank stabilization/protection,,
19990436,decrease erosion/stream sedimentation,,
19990437,increase future LWD recruitment to stream,,
19990437,increase future stream shading/increase vegetation to provide shade,,
19990437,increase streambank stabilization/protection,,
19990437,decrease erosion/stream sedimentation,,
19990438,increase future LWD recruitment to stream,,
19990438,increase future stream shading/increase vegetation to provide shade,,
19990438,increase streambank stabilization/protection,,
19990438,decrease erosion/stream sedimentation,,
19990439,increase future LWD recruitment to stream,,
19990439,increase future stream shading/increase vegetation to provide shade,,
19990439,increase streambank stabilization/protection,,
19990439,decrease erosion/stream sedimentation,,
19990440,increase future LWD recruitment to stream,,
19990440,increase future stream shading/increase vegetation to provide shade,,
19990440,increase streambank stabilization/protection,,
19990440,decrease erosion/stream sedimentation,,
19990441,decrease erosion/stream sedimentation,,
19990441,"increase upslope stability (soil, road)",,
19990441,increase road/upslope drainage,,
19990442,increase future LWD recruitment to stream,,
19990442,increase future stream shading/increase vegetation to provide shade,,
19990442,increase streambank stabilization/protection,,
19990442,decrease erosion/stream sedimentation,,
19990443,increase future LWD recruitment to stream,,
19990443,increase future stream shading/increase vegetation to provide shade,,
19990443,increase streambank stabilization/protection,,
19990443,decrease erosion/stream sedimentation,,
19990444,increase future LWD recruitment to stream,,
19990444,increase future stream shading/increase vegetation to provide shade,,
19990444,increase streambank stabilization/protection,,
19990444,decrease erosion/stream sedimentation,,
19990445,increase future LWD recruitment to stream,,
19990445,increase future stream shading/increase vegetation to provide shade,,
19990445,increase streambank stabilization/protection,,
19990445,decrease erosion/stream sedimentation,,
19990446,increase future LWD recruitment to stream,,
19990446,increase future stream shading/increase vegetation to provide shade,,
19990446,increase streambank stabilization/protection,,
19990446,decrease erosion/stream sedimentation,,
19990447,increase future LWD recruitment to stream,,
19990447,increase future stream shading/increase vegetation to provide shade,,
19990447,increase streambank stabilization/protection,,
19990447,decrease erosion/stream sedimentation,,
19990448,increase future LWD recruitment to stream,,
19990448,increase future stream shading/increase vegetation to provide shade,,
19990448,increase streambank stabilization/protection,,
19990448,decrease erosion/stream sedimentation,,
19990449,increase future LWD recruitment to stream,,
19990449,increase future stream shading/increase vegetation to provide shade,,
19990449,increase streambank stabilization/protection,,
19990449,decrease erosion/stream sedimentation,,
19990450,improve/increase fish passage,,
19990451,decrease erosion/stream sedimentation,,
19990451,increase road/upslope drainage,,
19990452,decrease erosion/stream sedimentation,,
19990452,increase road/upslope drainage,,
19990453,decrease erosion/stream sedimentation,,
19990453,increase road/upslope drainage,,
19990454,decrease erosion/stream sedimentation,,
19990454,increase road/upslope drainage,,
19990455,decrease erosion/stream sedimentation,,
19990455,"increase upslope stability (soil, road)",,
19990455,increase road/upslope drainage,,
19990456,increase future LWD recruitment to stream,,
19990456,increase future stream shading/increase vegetation to provide shade,,
19990456,increase streambank stabilization/protection,,
19990456,decrease erosion/stream sedimentation,,
19990457,decrease erosion/stream sedimentation,,
19990457,increase road/upslope drainage,,
19990458,increase future LWD recruitment to stream,,
19990458,increase future stream shading/increase vegetation to provide shade,,
19990458,increase streambank stabilization/protection,,
19990458,decrease erosion/stream sedimentation,,
19990458,decrease livestock access to stream,,
19990458,other,10 year livestock exclusion,
19990459,increase future LWD recruitment to stream,,
19990459,increase future stream shading/increase vegetation to provide shade,,
19990459,increase streambank stabilization/protection,,
19990459,decrease erosion/stream sedimentation,,
19990459,decrease livestock access to stream,,
19990459,other,10 year livestock exclusion,
19990460,increase future LWD recruitment to stream,,
19990460,increase future stream shading/increase vegetation to provide shade,,
19990460,increase streambank stabilization/protection,,
19990460,decrease erosion/stream sedimentation,,
19990460,decrease livestock access to stream,,
19990460,other,10 year livestock exclusion,
19990461,increase future LWD recruitment to stream,,
19990461,increase future stream shading/increase vegetation to provide shade,,
19990461,increase streambank stabilization/protection,,
19990461,decrease erosion/stream sedimentation,,
19990461,decrease livestock access to stream,,
19990461,other,10 year livestock exclusion,
19990462,increase future LWD recruitment to stream,,
19990462,increase future stream shading/increase vegetation to provide shade,,
19990462,increase streambank stabilization/protection,,
19990462,decrease erosion/stream sedimentation,,
19990462,decrease livestock access to stream,,
19990462,other,15 year livestock exclusion,
19990463,improve/increase stream structure & complexity,,
19990463,improve/increase stream interaction with floodplain,,
19990463,improve/increase stream flow,,
19990463,improve/increase stream gravel recruitment,,
19990463,improve/increase stream spawning habitat,,
19990463,improve/increase stream rearing habitat,,
19990463,improve/increase stream pools,,
19990463,improve/increase stream over-winter habitat,,
19990463,improve/increase stream summer habitat,,
19990463,increase streambank stabilization/protection,,
19990464,increase future LWD recruitment to stream,,
19990464,increase future stream shading/increase vegetation to provide shade,,
19990464,increase streambank stabilization/protection,,
19990464,decrease erosion/stream sedimentation,,
19990464,decrease livestock access to stream,,
19990464,other,10 year livestock exclusion,
19990465,increase future LWD recruitment to stream,,
19990465,increase future stream shading/increase vegetation to provide shade,,
19990465,increase streambank stabilization/protection,,
19990465,decrease erosion/stream sedimentation,,
19990465,decrease livestock access to stream,,
19990465,other,10 year livestock exclusion,
19990466,increase/improve water quality,,
19990467,decrease livestock access to stream,,
19990468,decrease livestock access to stream,,
19990469,decrease livestock access to stream,,
19990470,decrease erosion/stream sedimentation,,
19990470,decrease run-off contaminant input,,
19990470,improve flood/slide repair,,
19990471,improve/increase stream structure & complexity,,
19990471,improve/increase stream interaction with floodplain,,
19990471,improve/increase stream gravel recruitment,,
19990471,improve/increase stream spawning habitat,,
19990471,improve/increase stream rearing habitat,,
19990471,improve/increase stream pools,,
19990471,improve/increase stream over-winter habitat,,
19990472,decrease erosion/stream sedimentation,,
19990472,decrease washout/diversion potential at stream crossings,,
19990472,improve flood/slide repair,,
19990473,improve/increase fish passage,,
19990474,improve/increase fish passage,,
19990475,improve/increase fish passage,,
19990476,decrease erosion/stream sedimentation,,
19990476,decrease run-off contaminant input,,
19990476,"increase upslope stability (soil, road)",,
19990476,increase road/upslope drainage,,
19990476,decrease washout/diversion potential at stream crossings,,
19990476,improve flood/slide repair,,
19990477,decrease erosion/stream sedimentation,,
19990477,increase road/upslope drainage,,
19990478,decrease erosion/stream sedimentation,,
19990478,increase road/upslope drainage,,
19990479,decrease road access,,
19990479,improve flood/slide repair,,
19990480,decrease erosion/stream sedimentation,,
19990480,increase road/upslope drainage,,
19990481,decrease road access,,
19990481,improve flood/slide repair,,
19990482,increase future stream shading/increase vegetation to provide shade,,
19990482,decrease erosion/stream sedimentation,,
19990483,increase future LWD recruitment to stream,,
19990483,increase future stream shading/increase vegetation to provide shade,,
19990483,increase streambank stabilization/protection,,
19990483,decrease erosion/stream sedimentation,,
19990483,decrease livestock access to stream,,
19990484,increase future LWD recruitment to stream,,
19990484,increase future stream shading/increase vegetation to provide shade,,
19990484,increase streambank stabilization/protection,,
19990484,decrease erosion/stream sedimentation,,
19990485,increase future LWD recruitment to stream,,
19990485,increase future stream shading/increase vegetation to provide shade,,
19990485,increase streambank stabilization/protection,,
19990485,decrease erosion/stream sedimentation,,
19990486,increase future LWD recruitment to stream,,
19990486,increase future stream shading/increase vegetation to provide shade,,
19990487,increase future LWD recruitment to stream,,
19990487,increase future stream shading/increase vegetation to provide shade,,
19990487,increase streambank stabilization/protection,,
19990487,decrease erosion/stream sedimentation,,
19990488,increase future LWD recruitment to stream,,
19990488,increase future stream shading/increase vegetation to provide shade,,
19990489,increase future LWD recruitment to stream,,
19990490,increase future LWD recruitment to stream,,
19990490,increase future stream shading/increase vegetation to provide shade,,
19990490,"increase upslope stability (soil, road)",,
19990490,increase road/upslope drainage,,
19990491,increase future LWD recruitment to stream,,
19990491,increase future stream shading/increase vegetation to provide shade,,
19990492,increase future LWD recruitment to stream,,
19990492,increase future stream shading/increase vegetation to provide shade,,
19990493,increase future LWD recruitment to stream,,
19990493,increase future stream shading/increase vegetation to provide shade,,
19990493,increase streambank stabilization/protection,,
19990493,decrease erosion/stream sedimentation,,
19990494,increase future LWD recruitment to stream,,
19990494,increase future stream shading/increase vegetation to provide shade,,
19990495,increase future LWD recruitment to stream,,
19990495,increase future stream shading/increase vegetation to provide shade,,
19990496,increase future LWD recruitment to stream,,
19990496,increase future stream shading/increase vegetation to provide shade,,
19990497,increase future LWD recruitment to stream,,
19990497,increase future stream shading/increase vegetation to provide shade,,
19990497,increase streambank stabilization/protection,,
19990497,decrease erosion/stream sedimentation,,
19990498,increase future LWD recruitment to stream,,
19990498,increase future stream shading/increase vegetation to provide shade,,
19990498,increase streambank stabilization/protection,,
19990498,decrease erosion/stream sedimentation,,
19990499,increase future LWD recruitment to stream,,
19990499,increase future stream shading/increase vegetation to provide shade,,
19990499,increase streambank stabilization/protection,,
19990499,decrease erosion/stream sedimentation,,
19990500,increase future LWD recruitment to stream,,
19990500,increase future stream shading/increase vegetation to provide shade,,
19990500,increase streambank stabilization/protection,,
19990500,decrease erosion/stream sedimentation,,
19990501,increase future LWD recruitment to stream,,
19990501,increase future stream shading/increase vegetation to provide shade,,
19990501,increase streambank stabilization/protection,,
19990501,decrease erosion/stream sedimentation,,
19990502,increase future LWD recruitment to stream,,
19990502,increase future stream shading/increase vegetation to provide shade,,
19990502,increase streambank stabilization/protection,,
19990502,decrease erosion/stream sedimentation,,
19990503,decrease erosion/stream sedimentation,,
19990504,decrease erosion/stream sedimentation,,
19990505,decrease erosion/stream sedimentation,,
19990506,decrease erosion/stream sedimentation,,
19990507,improve/increase stream structure & complexity,,
19990507,increase streambank stabilization/protection,,
19990508,decrease erosion/stream sedimentation,,
19990508,"increase upslope stability (soil, road)",,
19990508,increase road/upslope drainage,,
19990509,decrease erosion/stream sedimentation,,
19990509,"increase upslope stability (soil, road)",,
19990509,increase road/upslope drainage,,
19990510,decrease erosion/stream sedimentation,,
19990510,"increase upslope stability (soil, road)",,
19990510,increase road/upslope drainage,,
19990511,improve/increase stream structure & complexity,,
19990511,improve/increase stream interaction with floodplain,,
19990511,improve/increase stream flow,,
19990511,improve/increase stream spawning habitat,,
19990511,improve/increase stream rearing habitat,,
19990511,improve/increase stream pools,,
19990511,improve/increase stream over-winter habitat,,
19990511,improve/increase stream summer habitat,,
19990512,increase future LWD recruitment to stream,,
19990512,other,improve structural diversity of riparian forest.,
19990513,improve/increase stream structure & complexity,,
19990513,improve/increase stream interaction with floodplain,,
19990513,improve/increase stream flow,,
19990513,improve/increase stream gravel recruitment,,
