change_indicator,pre_review,post_review,possible_matches
0,mosier watershed council,mosier watershed council,"{'mckenzie watershed council', 'silver lake watershed council', 'owyhee watershed council', 'malheur watershed council', 'siuslaw watershed council', 'elk sixes watershed council', 'goose lake watershed council', 'marys river watershed council'}"
0,mountain meadows owners association,mountain meadows owners association,{'mountain park home owners association'}
0,mowat construction,mowat construction,"{'k swartz construction', 'hatley construction', 'lemax construction', 'jal construction'}"
0,necanicum watershed council,necanicum watershed council,"{'nestucca watershed council', 'nehalem watershed council'}"
0,nestucca elementary school,nestucca elementary school,"{'nestucca valley elementary', 'misc elementary school'}"
0,nestucca high and middle schools,nestucca high and middle schools,{'nestucca middle school'}
0,nestucca high school,nestucca high school,{'nestucca middle school'}
0,nestucca middle school,nestucca middle school,"{'nestucca high school', 'nestucca high and middle schools'}"
0,north coast land conservancy,north coast land conservancy,{'south coast land conservancy'}
0,north coast watershed association,north coast watershed association,{'coos watershed association'}
0,north fork john day watershed council,north fork john day watershed council,"{'upper south fork john day watershed council', 'east lower john day watershed council', 'south fork john day watershed council', 'upper south fork john day river watershed council', 'mid john day watershed council'}"
0,north fork ranch,north fork ranch,{'north fork falls ranch'}
0,north middle school,north middle school,{'rowe middle school'}
0,north santiam watershed council,north santiam watershed council,"{'north sherman watershed council', 'south santiam watershed council'}"
0,north sherman watershed council,north sherman watershed council,"{'sherman county area watershed council', 'north santiam watershed council'}"
0,oakes bros construction,oakes bros construction,"{'vinson bros construction', 'bob hockema construction'}"
0,obec consulting engineer,obec consulting engineer,{'hbh consulting engineers'}
0,ochoco irrigation district,ochoco irrigation district,"{'owyhee irrigation district', 'tumalo irrigation district', 'modoc point irrigation district'}"
0,odf,odf,{'odfw'}
0,odfw,odfw,{'odf'}
0,ontko ranch,ontko ranch,{'pono ranch'}
0,oregon parks recreation department,oregon parks recreation department,{'city of medford parks recreation department'}
0,oregon state university,oregon state university,{'portland state university'}
0,oregon stewardship,oregon stewardship,{'madrona stewardship'}
0,owyhee irrigation district,owyhee irrigation district,"{'vale oregon irrigation district', 'westland irrigation district', 'swalley irrigation district', 'talent irrigation district', 'peoples irrigation district', 'queener irrigation district', 'ochoco irrigation district', 'tumalo irrigation district'}"
0,owyhee watershed council,owyhee watershed council,"{'malheur watershed council', 'mosier watershed council', 'goose lake watershed council', 'nehalem watershed council', 'lower rogue watershed council'}"
0,page ranch,page ranch,"{'agency ranch', 'pape ranches', 'pattee ranch'}"
0,pape ranches,pape ranches,{'page ranch'}
0,paradise creek ranch,paradise creek ranch,{'pine creek ranch'}
0,pardue construction,pardue construction,"{'haley construction', 'garrett construction', 'green construction', 'harper construction', 'slayden construction'}"
0,pattee ranch,pattee ranch,{'page ranch'}
0,peoples irrigation district,peoples irrigation district,"{'medford irrigation district', 'swalley irrigation district', 'malin irrigation district', 'owyhee irrigation district', 'talent irrigation district', 'queener irrigation district'}"
0,perkins ranch,perkins ranch,"{'keerins ranch', 'ernst ranch'}"
0,pickett creek irrigation association,pickett creek irrigation association,{'thompson creek irrigation association'}
0,pierce ranch,pierce ranch,{'izee ranch'}
0,pine creek ranch,pine creek ranch,"{'mill creek ranch', 'indian creek ranch', 'fate creek ranch', 'fence creek ranch', '7 mile creek ranch', 'paradise creek ranch'}"
0,polk county,polk county,{'lake county'}
0,polk county public works,polk county public works,"{'marion county public works', 'lincoln county public works', 'morrow county public works', 'douglas county public works', 'lane county public works'}"
0,pono ranch,pono ranch,{'ontko ranch'}
0,portland state university,portland state university,{'oregon state university'}
0,powder basin watershed council,powder basin watershed council,"{'seven basins watershed council', 'lower columbia watershed council'}"
0,powell farms,powell farms,{'welp farms'}
0,pudding river watershed council,pudding river watershed council,{'crooked river watershed council'}
0,q bar x ranch,q bar x ranch,{'j bar s ranch'}
0,queener irrigation district,queener irrigation district,"{'medford irrigation district', 'malin irrigation district', 'owyhee irrigation district', 'talent irrigation district', 'peoples irrigation district'}"
0,r r ranch,r r ranch,"{'r2 ranch', 'cc r ranch'}"
0,r y timber,r y timber,{'ry timber'}
0,r2 ranch,r2 ranch,{'r r ranch'}
0,ra farming,ra farming,{'t r farming'}
0,rabe consulting,rabe consulting,"{'irz consulting', 'h r consulting'}"
0,reser family foundation,reser family foundation,"{'schwemm family foundation', 'stanard family foundation', 'yarg family foundation'}"
0,ricco ranch,ricco ranch,{'torco ranch'}
0,rickreall watershed council,rickreall watershed council,"{'nehalem watershed council', 'elk creek watershed council'}"
0,riddle creek ranch,riddle creek ranch,"{'yale creek ranch', 'tri creek ranch'}"
0,riley creek elementary school,riley creek elementary school,{'deer creek elementary school'}
0,river bend ranch,river bend ranch,"{'rivers end ranch', 'river ranch'}"
0,river meadows homeowners association,river meadows homeowners association,"{'sunriver homeowner s association', 'elk meadows homeowners association'}"
0,river ranch,river ranch,"{'river bend ranch', 'river run ranch', 'rivers end ranch'}"
0,river run ranch,river run ranch,"{'rogue river ranch', 'river ranch'}"
0,rivers end ranch,rivers end ranch,"{'river bend ranch', 'river ranch'}"
0,rock creek ranch,rock creek ranch,"{'rudio creek ranch', 'tri creek ranch', 'wolf creek ranch'}"
0,rocking c ranch,rocking c ranch,"{'rocking nine ranch', 'rockin j ranch', 'rocking 9 ranch'}"
0,rogue river ranch,rogue river ranch,{'river run ranch'}
0,rogue river valley irrigation district,rogue river valley irrigation district,{'vale oregon irrigation district'}
0,rogue river watershed council,rogue river watershed council,"{'sandy river watershed council', 'trout creek watershed council', 'tualatin river watershed council', 'middle rogue watershed council', 'smith river watershed council', 'lower rogue watershed council'}"
0,romans farms,romans farms,{'mast farms'}
0,rowe middle school,rowe middle school,{'north middle school'}
0,saddle butte cattle association,saddle butte cattle association,{'jackies butte cattle association'}
0,sampson ranch,sampson ranch,"{'simpson ranch', 'swanson ranch', 'thompson ranch'}"
0,sandy high school,sandy high school,"{'sandy union high school', 'kennedy high school'}"
0,sandy union high school,sandy union high school,{'sandy high school'}
0,santiam water control district,santiam water control district,"{'skipanon water control district', 'sutherlin water control district'}"
0,scappoose bay watershed council,scappoose bay watershed council,{'tillamook bay watershed council'}
0,schwemm family foundation,schwemm family foundation,{'reser family foundation'}
0,seaside school district,seaside school district,{'sisters school district'}
0,seven basins watershed council,seven basins watershed council,"{'sandy river basin watershed council', 'powder basin watershed council'}"
0,shaniko cattle company,shaniko cattle company,{'hawkins cattle company'}
0,sherman county area watershed council,sherman county area watershed council,"{'north sherman watershed council', 'harney county watershed council'}"
0,sherman county weed department,sherman county weed department,"{'umatilla county weed department', 'wasco county weed department'}"
0,simms ranch,simms ranch,{'simpson ranch'}
0,simpson ranch,simpson ranch,"{'sampson ranch', 'simms ranch', 'thompson ranch'}"
0,sisters school district,sisters school district,{'seaside school district'}
0,siuslaw watershed council,siuslaw watershed council,"{'nestucca watershed council', 'skipanon watershed council', 'mosier watershed council', 'elk sixes watershed council'}"
0,skinner ranches,skinner ranches,{'widner ranches'}
0,skipanon water control district,skipanon water control district,"{'santiam water control district', 'sutherlin water control district'}"
0,skipanon watershed council,skipanon watershed council,{'siuslaw watershed council'}
0,skyview homeowner association,skyview homeowner association,{'sunriver homeowner s association'}
0,slayden construction,slayden construction,{'pardue construction'}
0,smith river watershed council,smith river watershed council,"{'rogue river watershed council', 'sandy river watershed council', 'tualatin river watershed council'}"
0,smith seed farms,smith seed farms,{'smith farms'}
0,south coast land conservancy,south coast land conservancy,{'north coast land conservancy'}
0,squaw creek irrigation district,squaw creek irrigation district,{'dee irrigation district'}
0,st helens school district,st helens school district,{'sweet home school district'}
0,stanard family foundation,stanard family foundation,"{'yarg family foundation', 'reser family foundation'}"
0,stanfield irrigation district,stanfield irrigation district,"{'westland irrigation district', 'swalley irrigation district', 'malin irrigation district', 'talent irrigation district', 'tumalo irrigation district'}"
0,stien enterprises,stien enterprises,{'henry enterprises'}
0,sullivan ranch,sullivan ranch,{'sullivan z ranch'}
0,sullivan z ranch,sullivan z ranch,{'sullivan ranch'}
0,sutherlin water control district,sutherlin water control district,"{'skipanon water control district', 'santiam water control district'}"
0,sw oaks creek neighborhood association,sw oaks creek neighborhood association,{'grand oaks neighborhood association'}
0,swalley irrigation district,swalley irrigation district,"{'baker valley irrigation district', 'malin irrigation district', 'owyhee irrigation district', 'talent irrigation district', 'peoples irrigation district', 'jordan valley irrigation district', 'langell valley irrigation district', 'tumalo irrigation district', 'stanfield irrigation district'}"
0,swanson ranch,swanson ranch,{'sampson ranch'}
0,sweet home school district,sweet home school district,{'st helens school district'}
0,t r farming,t r farming,{'ra farming'}
0,table mountain cattle company,table mountain cattle company,{'table rock cattle company'}
0,table rock cattle company,table rock cattle company,{'table mountain cattle company'}
0,talent irrigation district,talent irrigation district,"{'vale oregon irrigation district', 'westland irrigation district', 'swalley irrigation district', 'malin irrigation district', 'owyhee irrigation district', 'peoples irrigation district', 'queener irrigation district', 'stanfield irrigation district', 'tumalo irrigation district', 'klamath irrigation district'}"
0,tetra tech,tetra tech,{'terra tech'}
0,the dalles watershed council,the dalles watershed council,"{'warner valley watershed council', 'malheur watershed council', 'east john day watershed council'}"
0,thomas ranch,thomas ranch,{'thompson ranch'}
0,thompson creek irrigation association,thompson creek irrigation association,{'pickett creek irrigation association'}
0,thompson ranch,thompson ranch,"{'sampson ranch', 'simpson ranch', 'thomas ranch'}"
0,three rivers land conservancy,three rivers land conservancy,{'western rivers land conservancy'}
0,thurston high school,thurston high school,{'thurston midde school'}
0,thurston midde school,thurston midde school,{'thurston high school'}
0,tillamook bay watershed council,tillamook bay watershed council,"{'scappoose bay watershed council', 'umatilla basin watershed council'}"
0,tillamook county public works,tillamook county public works,"{'wasco county public works', 'union county public works', 'wallowa county public works'}"
0,torco ranch,torco ranch,{'ricco ranch'}
0,tri county cooperative weed management area,tri county cooperative weed management area,"{'josephine county cooperative weed management area', 'jackson county cooperative weed management area', 'harney county cooperative weed management area', 'lake county cooperative weed management area', 'jordan valley cooperative weed management area', 'juntura cooperative weed management area'}"
0,tri creek ranch,tri creek ranch,"{'rudio creek ranch', 'rock creek ranch', 'riddle creek ranch', 'twin creek ranch'}"
0,trimble ranch,trimble ranch,{'triple v ranch'}
0,triple v ranch,triple v ranch,{'trimble ranch'}
0,trout creek watershed council,trout creek watershed council,"{'pringle creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'ecola creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'rogue river watershed council', 'floras creek watershed council', 'bear creek watershed council', 'tryon creek watershed council', 'elk creek watershed council'}"
0,tryon creek watershed council,tryon creek watershed council,"{'pringle creek watershed council', 'trout creek watershed council', 'salmon drift creek watershed council', 'deep creek watershed council', 'evans creek watershed council', 'salmon drift creek watersheds council', 'ecola creek watershed council', 'johnson creek watershed council', 'fairview creek watershed council', 'floras creek watershed council', 'bear creek watershed council', 'elk creek watershed council'}"
0,tualatin river watershed council,tualatin river watershed council,"{'rogue river watershed council', 'sandy river watershed council', 'smith river watershed council'}"
0,tumalo irrigation district,tumalo irrigation district,"{'medford irrigation district', 'westland irrigation district', 'swalley irrigation district', 'malin irrigation district', 'owyhee irrigation district', 'talent irrigation district', 'ochoco irrigation district', 'stanfield irrigation district', 'klamath irrigation district'}"
0,twin buttes ranch,twin buttes ranch,{'white butte ranch'}
0,twin creek ranch,twin creek ranch,"{'wolf creek ranch', 'tri creek ranch', 'wilkins creek ranch'}"
0,umatilla county planning department,umatilla county planning department,"{'umatilla county road department', 'yamhill county planning department'}"
0,umatilla county road department,umatilla county road department,"{'umatilla county weed department', 'umatilla county planning department', 'wasco county road department'}"
0,union county public works,union county public works,"{'wallowa county public works', 'wasco county public works', 'tillamook county public works'}"
0,union county weed control,union county weed control,"{'crook county weed control', 'morrow county weed control', 'grant county weed control', 'umatilla county weed control', 'wallowa county weed control'}"
0,upper willamette step,upper willamette step,{'upper willamette swcd'}
0,upper willamette swcd,upper willamette swcd,{'upper willamette step'}
0,usfs,usfs,{'usfws'}
0,usfws,usfws,{'usfs'}
0,vale oregon irrigation district,vale oregon irrigation district,"{'talent irrigation district', 'owyhee irrigation district', 'jordan valley irrigation district', 'rogue river valley irrigation district'}"
0,valley heights home owners association,valley heights home owners association,{'happy valley heights homeowners association'}
0,vincent family ranches llc,vincent family ranches llc,{'west family ranch llc'}
0,vinson bros construction,vinson bros construction,{'oakes bros construction'}
0,volunteers americorps,volunteers americorps,"{'various volunteers', 'volunteers of america'}"
0,volunteers crbc volunteers,volunteers crbc volunteers,"{'volunteers florence volunteers', 'volunteers community volunteers'}"
0,volunteers florence volunteers,volunteers florence volunteers,{'volunteers crbc volunteers'}
0,volunteers of america,volunteers of america,{'volunteers americorps'}
0,volunteers sweet home youth watershed council,volunteers sweet home youth watershed council,{'volunteers youth watershed council'}
0,wade limited partnership,wade limited partnership,{'reed ranch limited partnership'}
0,walla walla watershed alliance,walla walla watershed alliance,{'walla walla watershed planning'}
0,wallowa county public works,wallowa county public works,"{'wasco county public works', 'union county public works', 'tillamook county public works'}"
0,warner valley watershed council,warner valley watershed council,{'the dalles watershed council'}
0,wasco county public works,wasco county public works,"{'wallowa county public works', 'union county public works', 'tillamook county public works'}"
0,wasco county road department,wasco county road department,"{'wheeler county road department', 'umatilla county road department', 'wasco county weed department'}"
0,wasco county weed department,wasco county weed department,"{'umatilla county weed department', 'wallowa county weed department', 'sherman county weed department', 'gilliam county weed department', 'wasco county road department'}"
0,waterways consulting,waterways consulting,{'waterwork consulting'}
0,waterwork consulting,waterwork consulting,{'waterways consulting'}
0,welp farms,welp farms,{'powell farms'}
0,westland irrigation district,westland irrigation district,"{'malin irrigation district', 'owyhee irrigation district', 'talent irrigation district', 'tumalo irrigation district', 'stanfield irrigation district'}"
0,wheeler county road department,wheeler county road department,{'wasco county road department'}
0,whitaker farms llc,whitaker farms llc,{'white s farm llc'}
0,white diamond ranch,white diamond ranch,{'diamond x ranch'}
0,white ranches,white ranches,"{'wilde ranches', 'widner ranches'}"
0,white s farm llc,white s farm llc,{'whitaker farms llc'}
0,widman ranch,widman ranch,"{'weedman ranch', 'sigman ranch'}"
0,widner ranches,widner ranches,"{'wilde ranches', 'white ranches', 'skinner ranches'}"
0,wild turkey federation,wild turkey federation,{'wild turkey foundation'}
0,wilde ranches,wilde ranches,"{'white ranches', 'widner ranches', 'wilson ranches', 'wilks ranches'}"
0,wilkins creek ranch,wilkins creek ranch,{'twin creek ranch'}
0,wilkinson ranches llc,wilkinson ranches llc,{'wilson ranches le llc'}
0,wilks ranches,wilks ranches,"{'wilde ranches', 'wilson ranches'}"
0,willamette restoration initiative,willamette restoration initiative,"{'willamette habitat restoration', 'willamette habitat restoration fund'}"
0,williams creek watershed council,williams creek watershed council,{'willow creek watershed council'}
0,willow creek watershed council,willow creek watershed council,"{'williams creek watershed council', 'elk creek watershed council'}"
0,willow farms llc,willow farms llc,"{'willow valley farms', 'wilson farm llc'}"
0,willow valley farms,willow valley farms,{'willow farms llc'}
0,wilson cattle co,wilson cattle co,{'lemmon cattle co'}
0,wilson farm llc,wilson farm llc,{'willow farms llc'}
0,wilson ranches,wilson ranches,"{'wilde ranches', 'wilks ranches'}"
0,wilson ranches le llc,wilson ranches le llc,{'wilkinson ranches llc'}
0,wither ranch inc,wither ranch inc,{'withers ranch'}
0,withers ranch,withers ranch,{'wither ranch inc'}
0,wolf creek ranch,wolf creek ranch,"{'yale creek ranch', 'rock creek ranch', 'twin creek ranch'}"
0,yale creek ranch,yale creek ranch,"{'riddle creek ranch', 'wolf creek ranch'}"
0,yamhill county,yamhill county,{'yamhill county parks'}
0,yamhill county parks,yamhill county parks,"{'yamhill county public works', 'yamhill county'}"
0,yamhill county planning department,yamhill county planning department,{'umatilla county planning department'}
0,yamhill county public works,yamhill county public works,{'yamhill county parks'}
0,yarg family foundation,yarg family foundation,"{'stanard family foundation', 'reser family foundation'}"
1,anderson ranches,anderson ranch,"{'andre ranches', 'davidson ranches', 'anderson ranch', 'andersen ranches', 'harrison ranches'}"
1,antone ranch llc,antone ranch,"{'antone ranch', 'antonne ranch'}"
1,antonne ranch,antone ranch,"{'antone ranch', 'antone ranch llc'}"
1,applegate partnership,applegate partnership watershed council,{'applegate partnership inc'}
1,applegate partnership inc,applegate partnership watershed council,{'applegate partnership'}
1,applegate river watershed council,applegate partnership watershed council,{'applegate partnership watershed council'}
1,arriola farms,arriola ranch,{'avila farms'}
1,bridge creek ranch llc,bridge creek ranch,"{'bridge creek ranch', 'bridge creek ranch llc pape'}"
1,bridge creek ranch llc pape,bridge creek ranch,{'bridge creek ranch llc'}
1,bridge creek watershed council,mid john day watershed council,"{'bear creek watershed council', 'mid john day bridge creek watershed council', 'elk creek watershed council'}"
1,broken spur ranches,broken spur ranch,"{'broken spur ranches llc', 'broken spur ranch'}"
1,broken spur ranches llc,broken spur ranch,"{'broken spur ranches', 'broken spur ranch'}"
1,butler creek farm inc,butler creek farm,"{'butler creek farms', 'butler creek farm'}"
1,butler creek farms,butler creek farm,"{'butler creek farm', 'butler creek farm inc'}"
1,campbell cattle ranch llc,campbell cattle ranch,{'campbell cattle ranch'}
1,campbell crossing inc,campbell crossing ranch,{'campbell crossing ranch'}
1,campbell crossing ranch,,{'campbell crossing inc'}
1,central oregon small woodlands association,oregon small woodlands association,{'oregon small woodlands association'}
1,clyde holliday family ranches inc,holliday family ranches inc,{'holliday family ranches inc'}
1,columbia county roads and parks department,columbia county road department,"{'columbia county road department', 'columbia county parks department', 'columbia county roads department'}"
1,columbia county roads department,columbia county road department,"{'columbia county roads and parks department', 'coos county road department', 'baker county road department', 'columbia county parks department', 'columbia county road department', 'clackamas county road department'}"
1,community members,community member,{'community member'}
1,community volunteers,community member,"{'council volunteers', 'various community volunteers', 'volunteers community'}"
1,contractors,contractor,{'contractor'}
1,coos county weed advisory board,coos county noxious weed advisory board,"{'coos county noxious weed advisory board', 'curry weed advisory board'}"
1,coos forest patrol,coos forest protection association,{'coos forest patrol agency'}
1,coos forest patrol agency,coos forest protection association,{'coos forest patrol'}
1,copeland sand gravel,copeland sand and gravel inc,{'copeland sand and gravel inc'}
1,crook county weed master,crook county weed control,{'crook county weed supervisor'}
1,crook county weed supervisor,,{'crook county weed master'}
1,crook estate,crook estates,{'crook estates'}
1,crooked river weed management area board members,crooked river weed management area,{'crooked river weed management area'}
1,cutthroat county consulting,cutthroat country consulting,{'cutthroat country consulting'}
1,d r ranches llc,d r ranches,{'d r ranches'}
1,dahle orchard,dahle orchards,{'dahle orchards'}
1,dallas high school ffa,dallas high school,{'dallas high school'}
1,davidson industries,davidson industries inc,{'davidson industries inc'}
1,deck family farms,deck family farm,{'deck family farm'}
1,deschutes mitigation and enhancement,deschutes mitigation and enhancement committee,{'deschutes mitigation and enhancement committee'}
1,deschutes resources council,deschutes resources conservancy,{'deschutes resources conservancy'}
1,dixie meadow co ranch,dixie meadows co,{'dixie meadows co'}
1,dow ranch,dow ranches,{'dow ranches'}
1,dr johnson lumber co,dr johnson lumber company,{'dr johnson lumber company'}
1,east john day watershed council,gilliam east john day watershed council,"{'mid john day watershed council', 'gilliam east john day watershed council', 'the dalles watershed council', 'east lower john day watershed council'}"
1,east lower john day watershed council,gilliam east john day watershed council,"{'mid john day watershed council', 'gilliam east john day watershed council', 'north fork john day watershed council', 'east john day watershed council'}"
1,elmwood ranches,elmwood ranches inc,{'elmwood ranches inc'}
1,forest of oregon,ane forest of oregon,{'ane forest of oregon'}
1,foundation for north american wild sheep,oregon foundation for north american wild sheep,{'oregon foundation for north american wild sheep'}
1,fred van eck forest foundation,van eck forest foundation,{'van eck forest foundation'}
1,full circle bison ranch herb pharm,full circle bison ranch,{'full circle bison ranch'}
1,george fox university students,george fox university,{'george fox university'}
1,glavey ranches,glavey ranches llc,"{'glaney ranches llc', 'glavey ranches llc'}"
1,grande ronde model watershed foundation,grande ronde model watershed council,{'grande ronde model watershed'}
1,grande ronde model watershed program,grande ronde model watershed council,{'grande ronde model watershed'}
1,gray ranch,gray ranch inc,"{'gentry ranch', 'gray ranch inc'}"
1,green diamond timber resource company,green diamond resource company,{'green diamond resource company'}
1,green excavation,green tree excavation,{'green tree excavation'}
1,griffith livestock,griffith livestock llc,{'griffith livestock llc'}
1,habitat contracting,habitat contracting llc,{'habitat contracting llc'}
1,haley construction co inc,,"{'hatley construction', 'haley construction'}"
1,hampton resources,hampton resources inc,{'hampton resources inc'}
1,hardie partnership,hardie family partnership,{'hardie family partnership'}
1,harrison ranches,harrison ranch,"{'anderson ranches', 'davidson ranches', 'harrison ranch'}"
1,harry bettis ranches,bettis ranches,{'bettis ranches'}
1,hash knife ranch,hashknife ranch,{'hashknife ranch'}
1,hildebrand ranches,hildebrand ranches llc,{'hildebrand ranches llc'}
1,hill ranches,hill ranches inc,"{'hill ranches inc', 'hall ranch', 'helle ranches'}"
1,ironside associates ranches,ironside associates,{'ironside associates'}
1,iz ranch,iz ranch llc,"{'7z ranch', 'izee ranch'}"
1,jobs council of jackson county,jackson county jobs council,{'jackson county job council'}
1,joe baertlein construction,baertlein construction,{'baertlein construction'}
1,josephine county parks,josephine county parks department,"{'josephine county public works', 'josephine county'}"
1,kennerly ranches,kennerly ranches llc,{'kennerly ranches llc'}
1,klamath flycasters,klamath county flycasters,{'klamath country flycasters'}
1,klamath watershed partnership,klamath watershed council,{'mohawk watershed partnership'}
1,lake county research initiative,lake county resources initiative,{'lake county resources initiative'}
1,lake county watershed council,lake county umbrella watershed council,"{'lake county watershed councils', 'lake county umbrella watershed council', 'harney county watershed council', 'deschutes county watershed council', 'goose lake watershed council'}"
1,lake county watershed councils,lake county umbrella watershed council,"{'lake county watershed council', 'lake county umbrella watershed council', 'harney county watershed council', 'deschutes county watershed council', 'goose lake watershed council'}"
1,linn county hwy department,linn county road department,{'linn county road department'}
1,lobster partnership,lobster creek partnership,{'lobster creek partnership'}
1,local businesses,local business,{'local business'}
1,lonerock ranch inc,lonerock ranch,"{'lonerock ranch llc', 'lonerock ranch'}"
1,lonerock ranch llc,lonerock ranch,"{'lonerock ranch inc', 'lonerock ranch', 'loop ranch llc'}"
1,lower columbia river estuary partnership,lower columbia estuary partnership,{'lower columbia estuary partnership'}
1,lower columbia watershed council,lower columbia river watershed council,"{'columbia slough watershed council', 'lower columbia river watershed council', 'powder basin watershed council', 'volunteers columbia slough watershed council'}"
1,m 5 land company,m5 land company,{'m5 land company'}
1,m smith ranches,m smith ranches,"{'m smith ranch', 'j smith ranch'}"
1,mackenzie ranches,mackenzie ranch,{'mackenzie ranch'}
1,mast farms,mast farms inc,"{'mast farms inc', 'romans farms', 'martin farms', 'madras farms'}"
1,michaels ranch,michaels ranch llc,{'michaels ranch llc'}
1,mid john day bridge creek watershed council,mid john day watershed council,"{'bridge creek watershed council', 'mid john day watershed council'}"
1,middle rogue watershed council,rogue river watershed council,"{'rogue river watershed council', 'lower rogue watershed council'}"
1,milton freewater flood control district,milton freewater water control district,{'milton freewater water control district'}
1,molalla river watch,molalla river watch inc,{'molalla river watch inc'}
1,mountain park home owners association volunteers,mountain park home owners association,{'mountain park home owners association'}
1,multiple landowners,private landowner,{'private landowners multiple'}
1,murphy creek ditch association,murphy ditch association,{'murphy ditch association'}
1,native species center at powers high school,powers high school native species center,{'powers high school native species center'}
1,neskowin valley school,neskowin valley schools,{'neskowin valley schools'}
1,nestucca neskowin sand lake watersheds council,nestucca neskowin watershed council,"{'nestucca neskowin watersheds council', 'nestucca neskowin watershed council'}"
1,nestucca neskowin watersheds council,nestucca neskowin watershed council,"{'nestucca watershed council', 'nestucca neskowin sand lake watersheds council', 'nestucca neskowin watershed council', 'volunteers nestucca neskowin watershed council'}"
1,nestucca tree farm c o hancock forest management gates tree farm,nestucca tree farm llc co hancock forest management,{'nestucca tree farm llc c o hancock forest management'}
1,nestucca watershed council,nestucca neskowin watershed council,"{'nestucca neskowin watershed council', 'nestucca neskowin watersheds council', 'siuslaw watershed council', 'necanicum watershed council', 'nehalem watershed council'}"
1,noaa fisheries,naco noaa fisheries,{'naco noaa fisheries'}
1,nolin farming,nolin farming co,{'nolin farming co'}
1,northern oregon watershed restoration partnership,northwest oregon restoration partnership,{'northwest oregon restoration partnership'}
1,olsen ranch gp,olsen ranch,{'olsen ranch'}
1,oregon national guard,oregon army national guard,{'oregon army national guard'}
1,oregon wildlife heritage foundation,oregon wildlife foundation,{'oregon wildlife foundation'}
1,pacific power light,pacific power,{'pacific power'}
1,pacific west timber llc,pacific west timber company llc,{'pacific west timber co'}
1,pacificorporation energy,pacificorp,{'pacificorporation'}
1,parametrix inc,parametrix,{'parametrix'}
1,philomath high school students,philomath high school,{'philomath high school'}
1,philomath scout lodge,philomath scout lodge inc,{'philomath scout lodge inc'}
1,plum creek timberlands llc,plum creek timberlands,"{'crook timberlands llc', 'plum creek timberlands lp', 'plum creek timberlands'}"
1,plum creek timberlands lp,plum creek timberlands,"{'plum creek timberlands llc', 'plum creek timberlands'}"
1,polk county fire district,polk county fire district no 1,{'polk county fire district no 1'}
1,polk fire district no 1,polk county fire district no 1,{'polk county fire district no 1'}
1,port of tillamook,port of tillamook bay,{'port of tillamook bay'}
1,portland schools,portland public schools,{'portland public schools'}
1,private citizen,private citizens,{'private citizens'}
1,private landowner 1,private landowner,"{'private landowners 5', 'private landowner mc029', 'private landowner mc004', 'private landowners', 'private landowner former', 'private landowner property 1', 'private landowner', 'private landowner 2', 'private landowner mc006'}"
1,private landowner 2,private landowner,"{'private landowners 5', 'private landowner mc029', 'private landowner mc004', 'private landowners', 'private landowner former', 'private landowner 1', 'private landowner', 'private landowner property 2', 'private landowner mc006'}"
1,private landowner adjacent,private landowner,"{'private landowners adjoining', 'private landowners adjacent'}"
1,private landowner former,private landowner,"{'private landowners 5', 'private landowners', 'private landowner 1', 'private landowner', 'private landowner 2'}"
1,private landowner lessee,private landowner,"{'private landowners 5', 'private landowner', 'private landowners'}"
1,private landowner mc004,private landowner,"{'private landowner mc029', 'private landowners', 'private landowner 1', 'private landowner', 'private landowner 2', 'private landowner mc006'}"
1,private landowner mc006,private landowner,"{'private landowner mc029', 'private landowner mc004', 'private landowners', 'private landowner 1', 'private landowner', 'private landowner 2'}"
1,private landowner mc029,private landowner,"{'private landowner mc004', 'private landowners', 'private landowner 1', 'private landowner', 'private landowner 2', 'private landowner mc006'}"
1,private landowner neighbor contributor,private landowner,{'private landowners multiple neighbor contributor'}
1,private landowners,private landowner,"{'private landowners 5', 'private landowner mc029', 'private landowner mc004', 'private landowner former', 'private landowner lessee', 'private landowner 1', 'private landowner', 'private landowner 2', 'private landowner mc006'}"
1,private landowners 5,private landowner,"{'private landowners', 'private landowner former', 'private landowner lessee', 'private landowner 1', 'private landowner', 'private landowners adjacent', 'private landowner 2'}"
1,private landowners adjacent,private landowner,"{'private landowners 5', 'private landowner adjacent', 'private landowners adjoining'}"
1,private landowners adjoining,private landowner,"{'private landowner adjacent', 'private landowners adjacent'}"
1,private landowners multiple,private landowner,"{'private landowners multiple 11', 'multiple landowners'}"
1,private landowners multiple neighbor contributor,private landowner,{'private landowner neighbor contributor'}
1,r d johns farm inc,rd johns farms inc,{'rd johns farms inc'}
1,r m knox sons,rm knox sons inc,{'r m knox sons inc'}
1,reed ranch limited partnership,reed ranch ltd partnership,"{'reed ranch ltd partnership', 'dalton ranch limited partnership', 'wade limited partnership'}"
1,rock n j ranch,rockin j ranch,{'rockin j ranch'}
1,rocking nine ranch,rocking 9 ranch,"{'rocking c ranch', 'rockin j ranch', 'rocking 9 ranch'}"
1,rudio creek ranch llc,rudio creek ranch,{'rudio creek ranch'}
1,ry timber,ry timber inc,"{'r y timber', 'ry timber inc'}"
1,salmon drift creek watersheds council,salmon drift creek watershed council,"{'floras creek watershed council', 'salmon drift creek watershed council', 'tryon creek watershed council'}"
