,PROJNUM,Participants
4658,20001013,"Plum Creek Timber Company, Plum Creek Timber Company"
4659,20001014,"Plum Creek Timber Company, Plum Creek Timber Company"
4660,20001015,"Plum Creek Timber Company, Plum Creek Timber Company"
4661,20001016,Plum Creek Timber Company
4662,20001017,"Plum Creek Timber Company, Plum Creek Timber Company"
4663,20001018,"Plum Creek Timber Company, Plum Creek Timber Company"
4664,20001019,Plum Creek Timber Company
4665,20001020,"Plum Creek Timber Company, Plum Creek Timber Company"
4666,20001021,"Plum Creek Timber Company, Plum Creek Timber Company"
4667,20001022,"Plum Creek Timber Company, Plum Creek Timber Company"
4668,20001023,"Plum Creek Timber Company, Plum Creek Timber Company"
4669,20001024,"Plum Creek Timber Company, Plum Creek Timber Company"
4670,20001025,"Plum Creek Timber Company, Plum Creek Timber Company"
4671,20001026,Plum Creek Timber Company
4672,20001027,Plum Creek Timber Company
4673,20001028,"Plum Creek Timber Company, Plum Creek Timber Company"
4674,20001029,Plum Creek Timber Company
4675,20001030,Plum Creek Timber Company
4676,20001031,"Plum Creek Timber Company, Plum Creek Timber Company"
4677,20001032,Plum Creek Timber Company
4678,20001033,Plum Creek Timber Company
4679,20001034,Plum Creek Timber Company
4680,20001035,Plum Creek Timber Company
4681,20001036,Plum Creek Timber Company
4682,20001037,"Plum Creek Timber Company, Plum Creek Timber Company"
4683,20001038,"Plum Creek Timber Company, Plum Creek Timber Company"
4684,20001039,"Plum Creek Timber Company, Plum Creek Timber Company"
4685,20001040,"Plum Creek Timber Company, Plum Creek Timber Company"
4686,20001041,"Plum Creek Timber Company, Plum Creek Timber Company"
4687,20001042,"Plum Creek Timber Company, Plum Creek Timber Company"
4688,20001043,Plum Creek Timber Company
4689,20001044,Plum Creek Timber Company
4690,20001045,Plum Creek Timber Company
4691,20001046,"Clackamas County, Metro, NMFS, ODFW"
4692,20001047,Clackamas County
4693,20001048,"Metro, Clackamas County, OWEB"
4694,20001049,Clackamas County
4695,20001050,"Rogue Flyfishers, ODFW, Boise Cascade, Rogue Flyfishers, Rogue Flyfishers"
4696,20001051,"ODFW, Private Landowner, Trout Unlimited, ODFW"
4697,20001052,"Trout Unlimited, Private Landowner, ODFW"
4698,20001053,"Walmart, ODFW"
4699,20001054,"ODFW, Private Landowner, Applegate River Watershed Council"
4700,20001055,"ODFW, OWEB, Private Landowner, Jackson SWCD"
4701,20001056,"Private Landowner, ODFW, OWEB, Jackson SWCD"
4702,20001057,"Jackson SWCD, OWEB, Private Landowner, ODFW"
4703,20001058,"Jackson SWCD, Private Landowner, ODFW, OWEB"
4704,20001059,"Jackson SWCD, Private Landowner, ODFW, OWEB, Wilderness Charter School, BrCk Education Partners, BLM, Oregon Trout"
4705,20001060,"Jackson SWCD, Private Landowner, ODFW, OWEB"
4706,20001061,"Jackson SWCD, Private Landowner, ODFW, OWEB"
4707,20001062,"Private Landowner, OWEB, ODFW, Jackson SWCD"
4708,20001063,"Oregon Wildlife Heritage Foundation, Willamette Industries, Inc., OWEB, Private Landowner, ODFW, USFWS"
4709,20001064,Lone Rock Timber Company
4710,20001065,Lone Rock Timber Company
4711,20001066,Lone Rock Timber Company
4712,20001067,"Lone Rock Timber Company, Lone Rock Timber Company"
4713,20001068,"Lone Rock Timber Company, Lone Rock Timber Company"
4714,20001069,"Lone Rock Timber Company, Lone Rock Timber Company"
4715,20001070,"Lone Rock Timber Company, Lone Rock Timber Company"
4716,20001071,"Lone Rock Timber Company, Lone Rock Timber Company"
4717,20001072,"Lone Rock Timber Company, Lone Rock Timber Company"
4718,20001073,Lone Rock Timber Company
4719,20001074,Lone Rock Timber Company
4720,20001075,Lone Rock Timber Company
4721,20001076,Lone Rock Timber Company
4722,20001077,Lone Rock Timber Company
4723,20001078,Lone Rock Timber Company
4724,20001079,Lone Rock Timber Company
4725,20001080,Lone Rock Timber Company
4726,20001081,Lone Rock Timber Company
4727,20001082,Boise Cascade
4728,20001083,Boise Cascade
4729,20001084,Boise Cascade
4730,20001085,Boise Cascade
4731,20001086,Boise Cascade
4732,20001087,Boise Cascade
4733,20001088,Boise Cascade
4734,20001089,Boise Cascade
4735,20001090,Boise Cascade
4736,20001091,Boise Cascade
4737,20001092,Boise Cascade
4738,20001093,"Boise Cascade, Boise Cascade"
4739,20001094,Boise Cascade
4740,20001095,Boise Cascade
4741,20001096,Boise Cascade
4742,20001097,Boise Cascade
4743,20001098,Boise Cascade
4744,20001099,Indian Hill LLC
4745,20001100,Indian Hill LLC
4746,20001101,"BLM, Indian Hill LLC"
4747,20001102,Indian Hill LLC
4748,20001103,Indian Hill LLC
4749,20001104,"Indian Hill LLC, BLM"
4750,20001105,Indian Hill LLC
4751,20001106,Indian Hill LLC
4752,20001107,Indian Hill LLC
4753,20001108,Indian Hill LLC
4754,20001109,Private Landowner
4755,20001110,Private Landowner
4756,20001111,Private Landowner
4757,20001112,Private Landowner
4758,20001113,Private Landowner
4759,20001114,"Port Blakely Tree Farms, Port Blakely Tree Farms"
4760,20001115,"Port Blakely Tree Farms, Port Blakely Tree Farms"
4761,20001116,"Port Blakely Tree Farms, Port Blakely Tree Farms"
4762,20001117,"Port Blakely Tree Farms, Port Blakely Tree Farms"
4763,20001118,"Port Blakely Tree Farms, Port Blakely Tree Farms"
4764,20001119,"Gretchen Vadnais Landscape Architect, LLC, Multnomah County"
4765,20001120,"ODF, Union SWCD, OWEB, Price Cattle Co."
4766,20001121,SDS Lumber Co.
4767,20001122,"Hood River County Forestry, OWEB"
4768,20001123,"Hood River County, ODF, ODFW, Hanel Development Group, SDS Lumber Co."
4769,20001124,"Farmers Irrigation District, Hood River Watershed Group, OWEB, Other participant, Longview Fibre Co., ODFW, USFS"
4770,20001125,"Gilliam SWCD, Private Landowner, OWEB, Gilliam County"
4771,20001126,"OWEB, Gilliam SWCD, Shaffer Farm"
4772,20001127,"Private Landowner, Private Landowner, ODA, OWEB, ODFW, Wheeler SWCD, BLM"
4773,20001128,"National Fish and Wildlife Foundation, Plant Works, The Nature Conservancy, The Nature Conservancy, OWEB, ODFW"
4774,20001129,"Jefferson SWCD, Trout Creek Watershed Council, Private Landowner, Deschutes River Conservancy, OWEB"
4775,20001130,"Lonesome Duck Ranch, ODFW"
4776,20001131,"Private Landowner, ODFW, ODFW"
4777,20001132,"Private Landowner, ODFW, ODFW"
4778,20001133,"ODFW, ODFW, Bridge Creek Ranch, ODFW"
4779,20001134,"ODFW, ODFW, Rogue River Ranch"
4780,20001135,"ODFW, ODFW, Favell-Utley Corp, ODFW"
4781,20001136,"ODFW, ODFW, Drews Valley Ranch, ODFW"
4782,20001137,"Private Landowner, ODFW, ODFW"
4783,20001138,"ODFW, Rogue River Ranch, ODFW"
4784,20001139,"Private Landowner, Wallowa SWCD, OWEB, ODF"
4785,20001140,"ODF, Private Landowner, OWEB, Wallowa SWCD"
4786,20001141,"BLM, Idaho Power, FEMA, Baker County Road Department"
4787,20001142,"Wallowa SWCD, Private Landowner, OWEB, NRCS"
4788,20001143,"Wallowa SWCD, NRCS, PGG Engineers, BPA, OWRD, Grande Ronde Model Watershed Program, Wallowa Resources, Private Landowner, OWEB"
4789,20001144,"OWEB, Crook SWCD, Private Landowners (multiple), ODFW"
4790,20001145,"Baker City High School, BLM, BLM"
4791,20001146,"OWEB, Harney SWCD, Private Landowner, NRCS"
4792,20001147,Longview Fibre Co.
4793,20001148,Longview Fibre Co.
4794,20001149,Longview Fibre Co.
4795,20001150,Longview Fibre Co.
4796,20001151,Longview Fibre Co.
4797,20001152,Longview Fibre Co.
4798,20001153,Longview Fibre Co.
4799,20001154,Longview Fibre Co.
4800,20001155,Longview Fibre Co.
4801,20001156,"OWEB, ODF, Ry Timber, Carman Ranches, Wallowa SWCD"
4802,20001157,"Grant SWCD, BPA, Private Landowner, ODFW"
4803,20001158,"Grant SWCD, BPA, ODFW, Private Landowner"
4804,20001159,"ODFW, Grant SWCD, OWEB, Monument High School, Private Landowner, NRCS, Oregon Trout"
4805,20001160,"Private Landowner, Bureau of Reclamation, Confederated Tribes of Warm Springs Reservation, ODFW, NRCS, BPA, Grant SWCD"
4806,20001161,"ODFW, Private Landowner, BPA, Bureau of Reclamation, Confederated Tribes of Warm Springs Reservation, NRCS, Grant SWCD"
4807,20001162,"Bureau of Reclamation, NRCS, Confederated Tribes of Warm Springs Reservation, BPA, Enterprise Ditch Company, Grant SWCD, ODFW"
4808,20001163,"Grant SWCD, NRCS, ODFW, Confederated Tribes of Warm Springs Reservation, Bureau of Reclamation, Private Landowner, BPA"
4809,20001164,"Confederated Tribes of Warm Springs Reservation, Grant SWCD, Crown Ranch, BPA, Bureau of Reclamation, ODFW, NRCS"
4810,20001165,"Confederated Tribes of Warm Springs Reservation, Grant SWCD, Clyde Holliday Family Ranches, Inc., Bureau of Reclamation, Private Landowner, ODFW, NRCS, BPA"
4811,20001166,"NRCS, ODFW, Confederated Tribes of Warm Springs Reservation, Bureau of Reclamation, BPA, Private Landowner, Grant SWCD"
4812,20001167,"BPA, NRCS, Bureau of Reclamation, Private Landowner, Confederated Tribes of Warm Springs Reservation, Grant SWCD, ODFW"
4813,20001168,"US Army Corps of Engineers, DSL, Morrow County Public Works"
4814,20001169,"Morrow County Public Works, DSL, ODFW, US Army Corps of Engineers, Oregon Parks & Recreation Department"
4815,20001170,"USFS, USFS"
4816,20001171,USFS
4817,20001172,USFS
4818,20001173,"USFS, USFS"
4819,20001174,"USFS, USFS"
4820,20001175,"USFS, USFS"
4821,20001176,USFS
4822,20001177,USFS
4823,20001178,USFS
4824,20001179,USFS
4825,20001180,USFS
4826,20001181,USFS
4827,20001182,"Upper Rogue Excavation, USFS"
4828,20001183,"Private Landowner, OWEB, Tillamook SWCD, USFWS"
4829,20001184,"OWEB, USFWS, Tillamook SWCD, Private Landowner"
4830,20001185,"BLM, DEQ, OWEB, Private Landowner, Tillamook SWCD, NRCS, Nestucca-Neskowin Watershed Council, Tillamook County"
4831,20001186,"Roseburg Resources Co., Roseburg Resources Co."
4832,20001187,"BLM, BLM"
4833,20001188,"Umpqua Fishery Enhancement Derby, Weyerhaeuser Company, OWEB, Private Landowner, Douglas SWCD, ODFW"
4834,20001189,"NRCS, Private Landowner, OWEB, ODFW, Trout Creek Watershed Council, Jefferson SWCD, Jefferson SWCD"
4835,20001190,"Private Landowner, OWEB, NRCS, Douglas SWCD"
4836,20001191,"Tillamook Bay National Estuary Project/TCPP, Private Landowners (multiple), Tillamook County Creamery Association, OWEB, DEQ"
4837,20001192,"Oregon Horse Power, Private Landowner, Private Landowner, NRCS, OWEB"
4838,20001193,"ODFW, USFS, Upper Deschutes Watershed Council, OWEB"
4839,20001194,"OWEB, Blue Mountain Land Investment, Walla Walla Basin Watershed Council, Umatilla County Road Department, Walla Walla Watershed Foundation, ODF"
4840,20001195,"Clatsop SWCD, OWEB, Oregon Parks & Recreation Department, Skipanon Watershed Council, NRCS, Private Landowner, ODFW"
4841,20001196,"Clatsop SWCD, Private Landowner, OWEB, Nicolai-Wickiup Watershed Council"
4842,20001197,"Union SWCD, OWEB, Grande Ronde Model Watershed Program, ODFW, Private Landowner, ODF"
4843,20001198,"OWEB, Private Landowner, Wallowa SWCD"
4844,20001199,"OWEB, City of Veneta, Oregon Country Fair"
4845,20001200,"Umatilla SWCD, Private Landowner, NRCS, OWEB"
4846,20001201,"Magruder Diking District, Lower Columbia River Watershed Council, US Army Corps of Engineers, Washington DOE, Columbia SWCD, OWEB"
4847,20001202,"Partnership for the Umpqua Rivers, Private Landowner, OWEB, Private Landowner"
4848,20001203,"Seneca Jones Timber Company, Partnership for the Umpqua Rivers, OWEB, Umpqua Fishery Enhancement Derby, USFWS, BLM, Joe Merchep Umpqua River Foundation"
4849,20001204,"Umpqua Fishery Enhancement Derby, OWEB, Private Landowner, Partnership for the Umpqua Rivers"
4850,20001205,"Cascade Timber Consulting, Inc."
4851,20001206,"Cascade Timber Consulting, Inc."
4852,20001207,"Cascade Timber Consulting, Inc."
4853,20001208,"Cascade Timber Consulting, Inc."
4854,20001209,"Cascade Timber Consulting, Inc."
4855,20001210,"Cascade Timber Consulting, Inc."
4856,20001211,"Cascade Timber Consulting, Inc."
4857,20001212,"Cascade Timber Consulting, Inc."
4858,20001213,"Cascade Timber Consulting, Inc."
4859,20001214,"Cascade Timber Consulting, Inc."
4860,20001215,"Cascade Timber Consulting, Inc."
4861,20001216,"Cascade Timber Consulting, Inc."
4862,20001217,"Cascade Timber Consulting, Inc."
4863,20001218,"Cascade Timber Consulting, Inc."
4864,20001219,"Starker Forests, Inc."
4865,20001220,"Starker Forests, Inc."
4866,20001221,"Starker Forests, Inc."
4867,20010001,"ODFW, BLM"
4868,20010002,"OWEB, ODFW, Weyerhaeuser Company, Partnership for the Umpqua Rivers"
4869,20010003,"Private Landowner, Umpqua Fishery Enhancement Derby, ODFW, ODFW"
4870,20010004,"Weyerhaeuser Company, Umpqua Fishery Enhancement Derby, ODFW, ODFW"
4871,20010005,"BLM, ODFW, Private Landowner"
4872,20010006,"Private Landowner, Umpqua Fishery Enhancement Derby, ODFW, USFWS, OWEB, Joe Merchep Umpqua River Foundation, Partnership for the Umpqua Rivers"
4873,20010007,"Rocking ""C"" Ranch, BLM, ODFW"
4874,20010008,"OWEB, Private Landowner, ODFW, Partnership for the Umpqua Rivers"
4875,20010009,"Umpqua Fishery Enhancement Derby, Private Landowner, ODFW"
4876,20010010,"Private Landowner, USFWS, ODFW"
4877,20010011,"USFWS, Silver Butte Timber Co., ODFW"
4878,20010012,"USFWS, Silver Butte Timber Co., OWEB, Umpqua Fishery Enhancement Derby, ODFW, Joe Merchep Umpqua River Foundation, Partnership for the Umpqua Rivers"
4879,20010013,"BLM, ODFW, Private Landowner"
4880,20010014,"Private Landowner, BLM, ODFW"
4881,20010015,"Private Landowner, BLM, ODFW"
4882,20010016,"Private Landowner, DEQ, ODFW"
4883,20010017,"Private Landowner, DEQ, ODFW"
4884,20010018,"ODFW, Private Landowner, ODFW"
4885,20010019,"ODFW, Private Landowner, ODFW"
4886,20010020,"ODFW, ODFW, Private Landowner"
4887,20010021,"ODFW, ODFW, Private Landowner"
4888,20010022,"Private Landowner, ODFW, ODFW"
4889,20010023,"ODFW, Private Landowner, OWEB, Partnership for the Umpqua Rivers"
4890,20010024,"ODFW, Silver Butte Timber Co., Superior Lumber Co., Private Landowner, Umpqua Fishery Enhancement Derby, OWEB, USFWS, Partnership for the Umpqua Rivers"
4891,20010025,"Private Landowner, ODFW, DEQ"
4892,20010026,"Private Landowner, BLM, ODFW"
4893,20010027,"Umpqua Fishery Enhancement Derby, Fruit Growers Supply Company, ODFW"
4894,20010028,"Douglas County, Umpqua Fishery Enhancement Derby, Lone Rock Timber Company, ODFW"
4895,20010029,Douglas County
4896,20010030,Douglas County
4897,20010031,Douglas County
4898,20010032,Douglas County
4899,20010033,"OWEB, ODF, ODFW, MidCoast Watersheds Council"
4900,20010034,"ODFW, Green Diamond Resource Company"
4901,20010035,"ODFW, Weyerhaeuser Company, OWEB, Siuslaw Watershed Council"
4902,20010036,"Siuslaw Watershed Council, ODFW, Weyerhaeuser Company, OWEB"
4903,20010037,"ODFW, Willamette Industries, Inc."
4904,20010038,"Willamette Industries, Inc., ODFW"
4905,20010039,"Willamette Industries, Inc., ODFW"
4906,20010040,"ODF, ODFW"
4907,20010041,"ODF, ODFW"
4908,20010042,"Green Diamond Resource Company, ODFW"
4909,20010043,"Starker Forests, Inc., ODFW"
4910,20010044,"ODFW, Green Diamond Resource Company"
4911,20010045,"ODFW, Private Landowner, Private Landowner, Private Landowner, Private Landowner, Audubon Society, USFWS, Salmon/Drift Basin Planning Team"
4912,20010046,"Northwest Steelheaders, ODF, ODFW"
4913,20010047,"ODF, ODFW"
4914,20010048,"Willamette Industries, Inc., ODFW"
4915,20010049,"ODF, ODFW"
4916,20010050,"ODF, ODFW"
4917,20010051,"OWEB, ODFW, Upper Nehalem Watershed Council, ODF"
4918,20010052,"ODF, OWEB, Upper Nehalem Watershed Council, ODFW"
4919,20010053,"Tillamook County Performance Partnership, Private Landowner, DEQ, OWEB"
4920,20010054,"DEQ, OWEB, Tillamook County Performance Partnership, Private Landowner"
4921,20010055,"OWEB, DEQ, Tillamook County Performance Partnership, Private Landowner"
4922,20010056,"Tillamook County Performance Partnership, Private Landowner, DEQ, OWEB"
4923,20010057,"Tillamook County Performance Partnership, OWEB, Private Landowner, DEQ"
4924,20010058,"Nestucca-Neskowin Watershed Council, Private Landowner, volunteers, USFS, BLM"
4925,20010059,"USFS, BLM, Nestucca-Neskowin Watershed Council, Volunteers: Camp Tillamook, Private Landowner, Nestucca High School"
4926,20010060,"USFS, Nestucca-Neskowin Watershed Council, BLM, Nestucca Elementary School, Neskowin Valley Schools, ODFW"
4927,20010061,"Hebo Joint Sewer and Water District, Silkwood Farms, Nestucca High School, Nestucca-Neskowin Watershed Council"
4928,20010062,"Volunteers: Camp Tillamook, volunteers, BLM, Nestucca-Neskowin Watershed Council, Private Landowner, USFS, Nestucca High School"
4929,20010063,"BLM, Tillamook SWCD, Nestucca High and Middle Schools, USFS, Private Landowner, Nestucca-Neskowin Watershed Council"
4930,20010064,"Private Landowner, Other federal participant, Nestucca High and Middle Schools, BLM, Nestucca-Neskowin Watershed Council"
4931,20010065,"Nestucca Middle School, Nestucca-Neskowin Watershed Council, BLM, ODFW"
4932,20010066,"Nestucca-Neskowin Watershed Council, Green Diamond Resource Company, USFS, ODFW, Nestucca High School"
4933,20010067,"Nestucca-Neskowin Watershed Council, Green Diamond Resource Company, USFS, ODFW, Nestucca High School"
4934,20010068,"Neskowin Community Association, BLM, multiple landowners, Nestucca-Neskowin Watershed Council, USFS"
4935,20010069,"Nestucca-Neskowin Watershed Council, Private Landowner, Neskowin Valley Schools, USFS, BLM"
4936,20010070,Longview Fibre Co.
4937,20010071,Longview Fibre Co.
4938,20010072,Longview Fibre Co.
4939,20010073,Longview Fibre Co.
4940,20010074,Longview Fibre Co.
4941,20010075,Longview Fibre Co.
4942,20010076,Longview Fibre Co.
4943,20010077,Longview Fibre Co.
4944,20010078,"City of Manzanita, City of Nehalem, Tillamook County, Longview Fibre Co."
4945,20010079,Longview Fibre Co.
4946,20010080,Longview Fibre Co.
4947,20010081,Longview Fibre Co.
4948,20010082,Longview Fibre Co.
4949,20010083,Longview Fibre Co.
4950,20010084,Longview Fibre Co.
4951,20010085,Longview Fibre Co.
4952,20010086,Longview Fibre Co.
4953,20010087,Longview Fibre Co.
4954,20010088,Longview Fibre Co.
4955,20010089,Longview Fibre Co.
4956,20010090,Longview Fibre Co.
4957,20010091,Longview Fibre Co.
4958,20010092,Longview Fibre Co.
4959,20010093,Longview Fibre Co.
4960,20010094,Longview Fibre Co.
4961,20010095,Longview Fibre Co.
4962,20010096,"ODFW, Longview Fibre Co., OWEB, Lower Nehalem Watershed Council, Upper Nehalem Watershed Council"
4963,20010097,"Longview Fibre Co., OWEB, ODFW, Upper Nehalem Watershed Council"
4964,20010098,"ODF, ODF"
4965,20010099,"ODF, ODF"
4966,20010100,"ODF, ODF"
4967,20010101,"ODF, ODF"
4968,20010102,"ODF, ODF"
4969,20010103,"ODF, ODF"
4970,20010104,"ODF, ODF"
4971,20010105,"ODF, USFWS"
4972,20010106,"ODF, ODF"
4973,20010107,"ODF, ODF"
4974,20010108,"ODF, ODF"
4975,20010109,"NRCS, OWEB, Tillamook SWCD, Tillamook SWCD, Private Landowner, Farm Service Agency, ODF, BLM"
4976,20010110,"Private Landowner, Tillamook SWCD, NRCS, ODF, Farm Service Agency, BLM, Tillamook SWCD, OWEB"
4977,20010111,"ODF, NRCS, Tillamook SWCD, OWEB, BLM, Tillamook SWCD, Farm Service Agency, Private Landowner"
4978,20010112,"Tillamook SWCD, OWEB, ODF, BLM, Farm Service Agency, Private Landowner, Tillamook SWCD, NRCS"
4979,20010113,"BLM, OWEB, NRCS, Tillamook SWCD, Tillamook SWCD, ODF, Private Landowner, Farm Service Agency"
4980,20010114,"NRCS, Farm Service Agency, Private Landowner, BLM, Tillamook SWCD, ODF, Tillamook SWCD, OWEB"
4981,20010115,"Farm Service Agency, Tillamook SWCD, Tillamook SWCD, ODFW, BLM, NRCS, OWEB, ODF, Private Landowner"
4982,20010116,"Private Landowner, OWEB, BLM, Farm Service Agency, Tillamook SWCD, Tillamook SWCD, ODF, NRCS"
4983,20010117,"Private Landowner, Tillamook SWCD, Tillamook SWCD, Farm Service Agency, OWEB, BLM, NRCS, ODF"
4984,20010118,"Tillamook SWCD, Tillamook SWCD, OWEB, BLM, Private Landowner, Farm Service Agency, ODF, NRCS"
4985,20010119,"NRCS, Farm Service Agency, Tillamook SWCD, Tillamook SWCD, ODFW, OWEB, BLM, Private Landowner, ODF"
4986,20010120,"OWEB, ODF, Tillamook SWCD, Port of Tillamook Bay, Farm Service Agency, Tillamook SWCD, BLM, NRCS"
4987,20010121,"ODFW, Miami Corporation"
4988,20010122,Miami Corporation
4989,20010123,"ODF, ODF"
4990,20010124,"ODF, ODF"
4991,20010125,"ODF, ODF"
4992,20010126,"ODF, ODF"
4993,20010127,"ODF, ODF"
4994,20010128,"ODF, ODF"
4995,20010129,ODF
4996,20010130,"ODF, ODF"
4997,20010131,ODF
4998,20010132,"ODF, ODF"
4999,20010133,"ODF, ODF"
5000,20010134,ODF
5001,20010135,"ODF, ODF"
5002,20010136,ODF
5003,20010137,ODF
5004,20010138,"ODF, ODF"
5005,20010139,"ODF, Clatsop SWCD, Private Landowner, OWEB, Tillamook SWCD, Tillamook County Creamery Association, NRCS"
5006,20010140,"Evenson Timberland Agency, Evenson Logging Company, Longview Fibre Co."
5007,20010141,"Olympic Resources Management, LLC, John Hancock Insurance Company"
5008,20010142,"Olympic Resources Management, LLC, John Hancock Insurance Company"
5009,20010143,"Olympic Resources Management, LLC, John Hancock Insurance Company"
5010,20010144,"Olympic Resources Management, LLC, John Hancock Insurance Company"
5011,20010145,Longview Fibre Co.
5012,20010146,Longview Fibre Co.
5013,20010147,Longview Fibre Co.
5014,20010148,Longview Fibre Co.
5015,20010149,Longview Fibre Co.
5016,20010150,Longview Fibre Co.
5017,20010151,Longview Fibre Co.
5018,20010152,Longview Fibre Co.
5019,20010153,Longview Fibre Co.
5020,20010154,Longview Fibre Co.
5021,20010155,Longview Fibre Co.
5022,20010156,Longview Fibre Co.
5023,20010157,Longview Fibre Co.
5024,20010158,Longview Fibre Co.
5025,20010159,Longview Fibre Co.
5026,20010160,Longview Fibre Co.
5027,20010161,Longview Fibre Co.
5028,20010162,"OWEB, Nestucca-Neskowin Watershed Council, USFS, NRCS, Private Landowner, Private Landowner"
5029,20010163,Boise Cascade
5030,20010164,Boise Cascade
5031,20010165,Boise Cascade
5032,20010166,Boise Cascade
5033,20010167,Boise Cascade
5034,20010168,Boise Cascade
5035,20010169,Boise Cascade
5036,20010170,Boise Cascade
5037,20010171,Boise Cascade
5038,20010172,Boise Cascade
5039,20010173,Boise Cascade
5040,20010174,Boise Cascade
5041,20010175,Boise Cascade
5042,20010176,Boise Cascade
5043,20010177,Boise Cascade
5044,20010178,"Private Landowner, ODFW"
5045,20010179,"ODFW, Cascade Geographic Society, Oregon Wildlife Heritage Foundation"
5046,20010180,"ODFW, Private Landowner"
5047,20010181,"ODFW, Port Blakely Tree Farms, USFWS"
5048,20010182,"ODFW, Private Landowner"
5049,20010183,"Oregon Wildlife Heritage Foundation, OWEB, Private Landowner, ODFW"
5050,20010184,"Freres Lumber, ODFW"
5051,20010185,"ODFW, Giustina Land & Timber Co., USFS"
5052,20010186,"Willamette Industries, Inc."
5053,20010187,"Willamette Industries, Inc."
5054,20010188,"Willamette Industries, Inc."
5055,20010189,"Willamette Industries, Inc."
5056,20010190,"Willamette Industries, Inc."
5057,20010191,"Willamette Industries, Inc."
5058,20010192,"Willamette Industries, Inc."
5059,20010193,"Willamette Industries, Inc."
5060,20010194,"Willamette Industries, Inc."
5061,20010195,"Willamette Industries, Inc."
5062,20010196,"Willamette Industries, Inc."
5063,20010197,"Willamette Industries, Inc."
5064,20010198,"Willamette Industries, Inc."
5065,20010199,"Willamette Industries, Inc."
5066,20010200,"Willamette Industries, Inc."
5067,20010201,"Willamette Industries, Inc."
5068,20010202,"Willamette Industries, Inc."
5069,20010203,"Willamette Industries, Inc."
5070,20010204,"Willamette Industries, Inc."
5071,20010205,"Willamette Industries, Inc."
5072,20010206,"Willamette Industries, Inc."
5073,20010207,"Willamette Industries, Inc."
5074,20010208,"Willamette Industries, Inc."
5075,20010209,"Willamette Industries, Inc."
5076,20010210,"Willamette Industries, Inc."
5077,20010211,"Willamette Industries, Inc."
5078,20010212,"Willamette Industries, Inc."
5079,20010213,"Willamette Industries, Inc."
5080,20010214,"Willamette Industries, Inc."
5081,20010215,"Willamette Industries, Inc."
5082,20010216,"Willamette Industries, Inc."
5083,20010217,"Willamette Industries, Inc."
5084,20010218,"Willamette Industries, Inc."
5085,20010219,"Willamette Industries, Inc."
5086,20010220,"Willamette Industries, Inc."
5087,20010221,"Willamette Industries, Inc."
5088,20010222,"Willamette Industries, Inc."
5089,20010223,"Willamette Industries, Inc."
5090,20010224,"Willamette Industries, Inc."
5091,20010225,"Willamette Industries, Inc."
5092,20010226,"Willamette Industries, Inc."
5093,20010227,"Willamette Industries, Inc."
5094,20010228,"Willamette Industries, Inc."
5095,20010229,"Willamette Industries, Inc."
5096,20010230,"Willamette Industries, Inc."
5097,20010231,"Willamette Industries, Inc."
5098,20010232,"Willamette Industries, Inc."
5099,20010233,"Willamette Industries, Inc."
5100,20010234,"Willamette Industries, Inc."
5101,20010235,"Willamette Industries, Inc."
5102,20010236,"Willamette Industries, Inc."
5103,20010237,"Willamette Industries, Inc."
5104,20010238,"Willamette Industries, Inc."
5105,20010239,"Willamette Industries, Inc."
5106,20010240,"Willamette Industries, Inc."
5107,20010241,"Willamette Industries, Inc."
5108,20010242,"Willamette Industries, Inc."
5109,20010243,"Willamette Industries, Inc."
5110,20010244,"Willamette Industries, Inc."
5111,20010245,"Willamette Industries, Inc."
5112,20010246,"Willamette Industries, Inc."
5113,20010247,"Willamette Industries, Inc."
5114,20010248,"Willamette Industries, Inc."
5115,20010249,"Willamette Industries, Inc."
5116,20010250,"Willamette Industries, Inc."
5117,20010251,"Willamette Industries, Inc."
5118,20010252,"Willamette Industries, Inc."
5119,20010253,"Willamette Industries, Inc."
5120,20010254,"Willamette Industries, Inc."
5121,20010255,"Willamette Industries, Inc."
5122,20010256,"Willamette Industries, Inc."
5123,20010257,"Willamette Industries, Inc."
5124,20010258,"Willamette Industries, Inc."
5125,20010259,"Willamette Industries, Inc."
5126,20010260,"Willamette Industries, Inc."
5127,20010261,"Willamette Industries, Inc."
5128,20010262,"Willamette Industries, Inc."
5129,20010263,"Willamette Industries, Inc."
5130,20010264,"Willamette Industries, Inc., BLM"
5131,20010265,"Willamette Industries, Inc., City of McMinnville"
5132,20010266,"Willamette Industries, Inc., Willamette Industries, Inc."
5133,20010267,"Willamette Industries, Inc., BLM, Willamette Industries, Inc."
5134,20010268,"Willamette Industries, Inc., Willamette Industries, Inc."
5135,20010269,"Willamette Industries, Inc., Willamette Industries, Inc."
5136,20010270,"Willamette Industries, Inc., Willamette Industries, Inc."
5137,20010271,"Willamette Industries, Inc., Willamette Industries, Inc."
5138,20010272,"Willamette Industries, Inc., Willamette Industries, Inc."
5139,20010273,"Willamette Industries, Inc., Willamette Industries, Inc."
5140,20010274,"Willamette Industries, Inc., Willamette Industries, Inc."
5141,20010275,"Willamette Industries, Inc., Willamette Industries, Inc."
5142,20010276,"Willamette Industries, Inc., Willamette Industries, Inc."
5143,20010277,"Willamette Industries, Inc., Willamette Industries, Inc."
5144,20010278,"Willamette Industries, Inc., Willamette Industries, Inc."
